id,isbn,isbn13,authors,original_publication_year,original_title,title,language_code
1,439023483,9780440000000,Suzanne Collins,2008,The Hunger Games,"The Hunger Games (The Hunger Games, #1)",eng
2,439554934,9780440000000,"J.K. Rowling, Mary GrandPré",1997,Harry Potter and the Philosopher's Stone,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",eng
3,316015849,9780320000000,Stephenie Meyer,2005,Twilight,"Twilight (Twilight, #1)",en-US
4,61120081,9780060000000,Harper Lee,1960,To Kill a Mockingbird,To Kill a Mockingbird,eng
5,743273567,9780740000000,F. Scott Fitzgerald,1925,The Great Gatsby,The Great Gatsby,eng
6,525478817,9780530000000,John Green,2012,The Fault in Our Stars,The Fault in Our Stars,eng
7,618260307,9780620000000,J.R.R. Tolkien,1937,The Hobbit or There and Back Again,The Hobbit,en-US
8,316769177,9780320000000,J.D. Salinger,1951,The Catcher in the Rye,The Catcher in the Rye,eng
9,1416524797,9781420000000,Dan Brown,2000,Angels & Demons ,"Angels & Demons  (Robert Langdon, #1)",en-CA
10,679783261,9780680000000,Jane Austen,1813,Pride and Prejudice,Pride and Prejudice,eng
11,1594480001,9781590000000,Khaled Hosseini,2003,The Kite Runner ,The Kite Runner,eng
12,62024035,9780060000000,Veronica Roth,2011,Divergent,"Divergent (Divergent, #1)",eng
13,451524934,9780450000000,"George Orwell, Erich Fromm, Celâl Üster",1949,Nineteen Eighty-Four,1984,eng
14,452284244,9780450000000,George Orwell,1945,Animal Farm: A Fairy Story,Animal Farm,eng
15,553296981,9780550000000,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,The Diary of a Young Girl,eng
16,307269752,9780310000000,"Stieg Larsson, Reg Keeland",2005,Män som hatar kvinnor,"The Girl with the Dragon Tattoo (Millennium, #1)",eng
17,439023491,9780440000000,Suzanne Collins,2009,Catching Fire,"Catching Fire (The Hunger Games, #2)",eng
18,043965548X,9780440000000,"J.K. Rowling, Mary GrandPré, Rufus Beck",1999,Harry Potter and the Prisoner of Azkaban,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",eng
19,618346252,9780620000000,J.R.R. Tolkien,1954, The Fellowship of the Ring,"The Fellowship of the Ring (The Lord of the Rings, #1)",eng
20,439023513,9780440000000,Suzanne Collins,2010,Mockingjay,"Mockingjay (The Hunger Games, #3)",eng
21,439358078,9780440000000,"J.K. Rowling, Mary GrandPré",2003,Harry Potter and the Order of the Phoenix,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",eng
22,316166685,9780320000000,Alice Sebold,2002,The Lovely Bones,The Lovely Bones,eng
23,439064864,9780440000000,"J.K. Rowling, Mary GrandPré",1998,Harry Potter and the Chamber of Secrets,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",eng
24,439139600,9780440000000,"J.K. Rowling, Mary GrandPré",2000,Harry Potter and the Goblet of Fire,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",eng
25,545010225,9780550000000,"J.K. Rowling, Mary GrandPré",2007,Harry Potter and the Deathly Hallows,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",eng
26,307277674,9780310000000,Dan Brown,2003,The Da Vinci Code,"The Da Vinci Code (Robert Langdon, #2)",eng
27,439785960,9780440000000,"J.K. Rowling, Mary GrandPré",2005,Harry Potter and the Half-Blood Prince,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",eng
28,140283331,9780140000000,William Golding,1954,Lord of the Flies ,Lord of the Flies,eng
29,743477111,9780740000000,"William Shakespeare, Robert           Jackson",1595,An Excellent conceited Tragedie of Romeo and Juliet,Romeo and Juliet,eng
30,297859382,9780300000000,Gillian Flynn,2012,Gone Girl,Gone Girl,eng
31,399155341,9780400000000,Kathryn Stockett,2009,The Help,The Help,eng
32,142000671,9780140000000,John Steinbeck,1937,Of Mice and Men ,Of Mice and Men,eng
33,739326228,9780740000000,Arthur Golden,1997,Memoirs of a Geisha,Memoirs of a Geisha,eng
34,1612130291,9781610000000,E.L. James,2011,Fifty Shades of Grey,"Fifty Shades of Grey (Fifty Shades, #1)",eng
35,61122416,9780060000000,"Paulo Coelho, Alan R. Clarke",1988,O Alquimista,The Alchemist,eng
36,385732554,9780390000000,Lois Lowry,1993,The Giver,"The Giver (The Giver, #1)",eng
37,60764899,9780060000000,C.S. Lewis,1950,"The Lion, the Witch and the Wardrobe","The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",eng
38,965818675,9780970000000,Audrey Niffenegger,2003,The Time Traveler's Wife,The Time Traveler's Wife,eng
39,553588486,9780550000000,George R.R. Martin,1996,A Game of Thrones,"A Game of Thrones (A Song of Ice and Fire, #1)",eng
40,143038419,9780140000000,Elizabeth Gilbert,2006,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia","Eat, Pray, Love",eng
41,786838655,9780790000000,Rick Riordan,2005,The Lightning Thief,"The Lightning Thief (Percy Jackson and the Olympians, #1)",eng
42,451529308,9780450000000,Louisa May Alcott,1868,Little Women,"Little Women (Little Women, #1)",en-US
43,142437204,9780140000000,"Charlotte Brontë, Michael Mason",1847,Jane Eyre,Jane Eyre,eng
44,553816713,9780550000000,Nicholas Sparks,1996,The Notebook,"The Notebook (The Notebook, #1)",eng
45,770430074,9780770000000,Yann Martel,2001,Life of Pi,Life of Pi,
46,1565125606,9781570000000,Sara Gruen,2006,Water for Elephants,Water for Elephants,eng
47,375831002,9780380000000,Markus Zusak,2005,The Book Thief,The Book Thief,eng
48,307347974,9780310000000,Ray Bradbury,1953,Fahrenheit 451,Fahrenheit 451,spa
49,316160199,9780320000000,Stephenie Meyer,2006,"New Moon (Twilight, #2)","New Moon (Twilight, #2)",eng
50,60513039,9780060000000,Shel Silverstein,1974,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,Where the Sidewalk Ends,eng
51,1416914285,9781420000000,Cassandra Clare,2007,City of Bones,"City of Bones (The Mortal Instruments, #1)",eng
52,316160202,9780320000000,Stephenie Meyer,2007,Eclipse,"Eclipse (Twilight, #3)",en-US
53,375826696,9780380000000,Christopher Paolini,2002,Eragon,"Eragon (The Inheritance Cycle, #1)",en-US
